id,user_id,nomination_id,points
711,73,268,1
712,73,254,1
713,125,283,1
714,94,343,1
715,27,346,1
716,189,397,1
717,37,440,1
718,37,449,1
719,200,478,1
720,27,508,1
721,81,539,1
722,81,552,1
723,86,581,1
724,94,602,1
725,23,680,1
726,142,704,1
727,142,710,1
728,151,737,1
729,151,753,1
730,20,765,1
731,20,772,1
732,20,781,1
733,54,823,1
734,37,863,1
735,271,910,1
736,168,957,1
737,10,190,0
738,181,204,0
739,181,203,0
740,26,227,0
741,12,268,1
742,12,254,1
743,12,246,1
744,228,299,1
745,28,306,1
746,34,346,1
747,34,381,1
748,89,400,1
749,181,440,1
750,181,437,1
751,81,470,1
752,99,496,1
753,94,517,1
754,37,552,1
755,37,544,1
756,54,587,1
757,23,602,1
758,48,676,1
759,48,680,1
760,150,704,1
761,150,710,1
762,147,737,1
763,147,753,1
764,11,765,1
765,11,781,1
766,66,823,1
767,120,873,1
768,187,910,1
769,124,957,1
770,81,190,0
771,81,193,0
772,211,203,0
773,34,226,0
774,20,268,1
775,65,290,1
776,36,306,1
777,36,343,1
778,36,335,1
779,10,346,1
780,93,400,1
781,93,397,1
782,36,437,1
783,181,449,1
784,35,499,1
785,37,517,1
786,36,539,1
787,66,570,1
788,66,587,1
789,66,581,1
790,37,602,1
791,120,680,1
792,203,704,1
793,192,737,1
794,15,772,1
795,15,781,1
796,164,823,1
797,48,862,1
798,48,863,1
799,274,910,1
800,15,957,1
801,34,190,0
802,37,203,0
803,37,202,0
804,10,233,0
805,15,268,1
806,15,254,1
807,15,246,1
808,12,290,1
