id,discord_name_original,display_name,discord_name,discord_id,premium
265,ZCGonzo#7092,Gnozo,zcgonzo,134067900330803200,
266,zzeerroo#7264,zzeerroo ⚡⚡,zzeerroo,1044394564674404423,
267,androxima#0,drox,androxima,400758379259232256,
268,bdub7653#0,bdub,bdub7653,230735965964992512,
269,clover_q#0,Clover,clover_q,187578850576695296,
270,gutsu7#0,guts,gutsu7,515330127081635840,
271,humanbydefinition#0,humanbydefinition,humanbydefinition,237579140432265217,
272,iamtheredspy#0,RedSpy,iamtheredspy,405814281767223308,
273,mangomateo#0,RetroMateo,mangomateo,342501837045235715,
274,newbietoobychickenbooby#0,newbie tooby chicken booby,newbietoobychickenbooby,833163257757040681,
275,nihilspire#0,Jack (Nihilspire),nihilspire,195702334087626752,champion
276,seedyz#0,Seedy,seedyz,212750656325287936,
277,zer0_impedance#0,Zer0,zer0_impedance,446737534597201940,
278,Yaba Love#5598,,,956273323636043887,
279,24Block#0535,24Block,24Block,834602534621544478,champion
280,adixal#6483,adixal,xonglebongle,1068708330538795058,champion
281,AdmiralGonzoIII#5155,Admiral Gonzo III,admiralgonzoiii,286022490202046464,champion
282,Gatz#4728,Gatz,darfoo,892961109588475954,legend
283,Ban675#0675,🐸 Ban 🐸,ban675,91725857306972160,legend
284,C$#1495,C_wag,c_wag,879535154882826250,supporter
285,Cadence#0666,Cadence,cadence.rose,234482108402368512,champion
286,crippnipp#2358,crippnipp,crippnipp,895323610351288350,champion
287,Empleh_doG#8470,Empleh_doG,Empleh_doG,769955467870076979,champion
288,VY$E#2138,VY$E,vyse1995,1020422812248326225,legend
289,garzilla3#0000,Garzilla,garzilla3,390238562563522578,champion
290,scott.#7978,anarchy inciter scott. (he/him),holaimscott,626242058134487040,supporter
291,JeffTheSmeff#2171,JeffTheSmeff,jeffthesmeff,225045051640643584,champion
292,syKro#4685,Joey's Retro Handhelds,joeysretrohandhelds,157841474875162624,supporter
293,kihnyx#0089,kihnyx,kihnyx,111567092456632320,supporter
294,kindofabigdyl#8888,Retro Big Dyl,kindofabigdyl,126005036797919232,supporter
295,lpre30#0136,lpre30,lpre30,528026380361793565,legend
296,Lulpha#4809,Lulpha,lulpha,150395217181278208,supporter
297,Caleb2023#7876,Caleb2023,caleb232,1108228493130616973,champion
298,megadrive#0695,Megadrive,megadrive1,386616491069407241,supporter
299,MilkyDonut#7277,milky,milky.bread,257677236549713930,legend
300,MrFaust#9253,MrFaust,the.mrfaust,476950669367181313,legend
301,mschimen#5230,Revo,mschimen,705471938184871948,champion
302,theCRAWDADDY#9118,theCRAWDADDY,olecrawdaddyy,134489404134653963,supporter
303,pelicularities#9068,pelicularities,pelicularities,299000525154811904,legend
304,pkegg#7827,pkegg,pkegg,439123264334462978,supporter
305,PMallette#4532,PMallette,pmallette,729904910644281354,supporter
306,FarGate#9632,FarGate,fargate64,489952541212147725,supporter
307,gammage0#1517,gammage0,gammage0,384036174202798091,supporter
308,RetroGameCorps#2918,RetroGameCorps,retrogamecorps,485534021569478656,legend
309,FannypackMan824#0635,FannypackMan824,rocketman824,958146215248297985,champion
310,roofpooper#4054,roofpooper,roofpooper,188701650158878720,supporter
311,SgtDaddy#5876,SgTdAdDy,sgtdaddy,703320052241530943,supporter
312,Shem (RetroBreeze)#8686,Shem (RetroBreeze),retrobreeze,831485268971618304,legend
313,SuperSexySoapTurtle#6660,SuperSexySoapTurtle,supersexysoapturtle,237013541998034945,supporter
314,duarffff_#7764,Stunseed,stunseed____,137961338646429696,champion
315,Mikhailov1#3937,Team Retrogue,teamretrogue,282646475979227137,champion
316,TeenieTinyTina#0017,🐷Tina🐷,teenietinytina,107970228293484544,legend
317,TheAntarctic#3597,TheAntarctic,theantarctic,193482966834348032,legend
318,Bobby_Vans#2818,CloudReigns,theretrogadgeteer,611741715199688704,supporter
319,Webnet#8493,Webnet,webnet,181087250547736577,champion
